NORAD Number,COSPAR Number,Official Name,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Inclination (degrees),Period (minutes),Launch Mass (kg.), Dry Mass (kg.) ,Expected Lifetime (yrs.),Launch Site,Launch Vehicle
52546,2022-051AG,Starlink-3942 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52555,2022-051AA,Starlink-3943 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
53264,2022-051M,Starlink-3944 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52533,2022-053AM,Starlink-3945 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52534,2022-053AP,Starlink-3946 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52559,2022-052K,Starlink-3947 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52558,2022-051P,Starlink-3948 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52561,2022-051Y,Starlink-3949 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52560,2022-086Y,Starlink-3950 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52562,2022-051A,Starlink-3951 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52535,2022-051B,Starlink-3952 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52564,2022-051AC,Starlink-3953 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52659,2022-051AB,Starlink-3954 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
62637,2022-051AE,Starlink-3955 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52708,2022-051AD,Starlink-3956 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52643,2022-051AF,Starlink-3957 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52536,2022-051C,Starlink-3958 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52550,2022-051AH,Starlink-3959 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52552,2022-053D,Starlink-3960 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52636,2022-052AR,Starlink-3961 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52639,2022-053BE,Starlink-3962 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52551,2022-052AX,Starlink-3963 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52706,2022-051D,Starlink-3964 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52642,2022-051T,Starlink-3965 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52669,2022-051V,Starlink-3966 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52645,2022-052AQ,Starlink-3967 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
