NORAD Number,COSPAR Number,Official Name,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Inclination (degrees),Period (minutes),Launch Mass (kg.), Dry Mass (kg.) ,Expected Lifetime (yrs.),Launch Site,Launch Vehicle
45160,2020-020V,OneWeb-0055,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,94.4,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45161,2020-008AE,OneWeb-0056,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.7,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45162,2020-008AF,OneWeb-0057,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.7,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45455,2020-008AG,OneWeb-0058,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.6,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45428,2020-008AH,OneWeb-0059,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.6,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45163,2020-020AH,OneWeb-0060,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,96.5,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45448,2020-020E,OneWeb-0061,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,94.4,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45433,2020-008AJ,OneWeb-0062,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.7,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45164,2020-020AA,OneWeb-0063,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,94.6,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45424,2020-020K,OneWeb-0064,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.9,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45425,2020-008AK,OneWeb-0065,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.8,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45446,2020-020A,OneWeb-0066,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.3,93.5,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45430,2020-020B,OneWeb-0067,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.6,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45426,2020-020Y,OneWeb-0068,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,94.7,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45429,2020-020G,OneWeb-0069,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.8,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45452,2020-020C,OneWeb-0080,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.6,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45435,2020-020F,OneWeb-0081,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.7,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45438,2020-020AE,OneWeb-0082,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,94.8,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45456,2020-020M,OneWeb-0083,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,94,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45451,2020-020Q,OneWeb-0085,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,94,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45457,2020-020AJ,OneWeb-0086,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,96.2,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45427,2020-020AD,OneWeb-0087,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,95.8,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45437,2020-020AK,OneWeb-0088,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,96.6,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45444,2020-020D,OneWeb-0090,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.7,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45450,2020-020P,OneWeb-0092,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,94.1,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45436,2020-020W,OneWeb-0093,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,94,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45439,2020-020AC,OneWeb-0094,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,94.8,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
45442,2020-020N,OneWeb-0095,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,94,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
48049,2020-020R,OneWeb-0096,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,94.2,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
47258,2020-020U,OneWeb-0098,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,94.3,148,,5,Baikonur Cosmodrome,Soyuz-2.1b
48048,2021-025H ,OneWeb-0101 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48076,2020-100A,OneWeb-0102,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,94.3,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47259,2021-025G ,OneWeb-0107 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47260,2021-025AL ,OneWeb-0108 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47261,2020-100B,OneWeb-0109 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48051,2020-100C,OneWeb-0110 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48050,2020-100D,OneWeb-0111 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47262,2021-025K ,OneWeb-0112 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48042,2021-025J ,OneWeb-0113 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48046,2020-100E,OneWeb-0114 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47263,2021-025A ,OneWeb-0115 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47264,2021-025E ,OneWeb-0116 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47265,2020-100F,OneWeb-0117 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47266,2020-100G,OneWeb-0118 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47267,2020-100H,OneWeb-0119 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47268,2020-100J,OneWeb-0120 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47269,2020-100K,OneWeb-0121 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47270,2020-100L,OneWeb-0122 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47271,2020-100M,OneWeb-0123 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47272,2020-100N,OneWeb-0124 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47273,2020-100P,OneWeb-0125 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47274,2020-100Q,OneWeb-0126 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47275,2020-100R,OneWeb-0127 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47276,2020-100S,OneWeb-0128 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47277,2020-100T,OneWeb-0129 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47278,2020-100U,OneWeb-0130 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47279,2020-100V,OneWeb-0131 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47280,2020-100W,OneWeb-0132 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47281,2020-100X,OneWeb-0133 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47282,2020-100Y,OneWeb-0134 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47283,2020-100Z,OneWeb-0135 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47284,2020-100AA,OneWeb-0136 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47285,2020-100AB,OneWeb-0137 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47286,2020-100AC,OneWeb-0138 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47287,2020-100AD,OneWeb-0139 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47288,2020-100AE,OneWeb-0140 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47289,2020-100AF,OneWeb-0141 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47290,2020-100AG,OneWeb-0142 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47291,2020-100AH,OneWeb-0143 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47292,2020-100AJ,OneWeb-0144 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
47293,2020-100AK,OneWeb-0145 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48059,2020-100AL,OneWeb-0146 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48058,2020-100AM,OneWeb-0147 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48047,2021-025T ,OneWeb-0148 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48066,2021-025S ,OneWeb-0149 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48043,2021-025F ,OneWeb-0150 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48044,2021-025AA ,OneWeb-0151 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48045,2021-025B ,OneWeb-0152 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48057,2021-025C ,OneWeb-0153 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48052,2021-025D ,OneWeb-0154 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48055,2021-025R ,OneWeb-0155 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48054,2021-025L ,OneWeb-0156 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48062,2021-025P ,OneWeb-0157 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48060,2021-025N ,OneWeb-0158 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48053,2021-025W ,OneWeb-0159 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48056,2021-025U ,OneWeb-0160 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48061,2021-025M ,OneWeb-0161 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48063,2021-025Q ,OneWeb-0162 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48233,2021-025V ,OneWeb-0163 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48065,2021-025X ,OneWeb-0164 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48064,2021-031Z ,OneWeb-0165 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48068,2021-025Z ,OneWeb-0166 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48077,2021-025Y ,OneWeb-0167 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48067,2021-025AC ,OneWeb-0168 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48070,2021-025AM ,OneWeb-0169 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48071,2021-025AB ,OneWeb-0170 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48069,2021-025AE ,OneWeb-0171 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48072,2021-025AF ,OneWeb-0172 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48073,2021-025AD ,OneWeb-0173 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48210,2021-025AG ,OneWeb-0174 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48074,2021-025AH ,OneWeb-0175 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48075,2021-031A ,OneWeb-0176 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48212,2021-025AJ ,OneWeb-0177 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48213,2021-025AK ,OneWeb-0178 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48230,2021-031C ,OneWeb-0179 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48228,2021-031D ,OneWeb-0180 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48219,2021-031W ,OneWeb-0181 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48211,2021-031U ,OneWeb-0182 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48220,2021-031K ,OneWeb-0183 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48229,2021-031B ,OneWeb-0184 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48221,2021-031L ,OneWeb-0185 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48231,2021-031V ,OneWeb-0186 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48217,2021-031M ,OneWeb-0187 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48796,2021-031X ,OneWeb-0188 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48239,2021-031H ,OneWeb-0189 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48222,2021-045AF,OneWeb-0190,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,440,450,87.4,96.3,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48238,2021-031AF ,OneWeb-0191 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48237,2021-031N ,OneWeb-0192 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48240,2021-031AE ,OneWeb-0193 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48218,2021-031AD ,OneWeb-0194 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48236,2021-031AG ,OneWeb-0195 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48216,2021-031J ,OneWeb-0196 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48234,2021-031AC ,OneWeb-0197 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48244,2021-031G ,OneWeb-0198 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48241,2021-031AA ,OneWeb-0199 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48224,2021-031AL ,OneWeb-0200 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48235,2021-031AH ,OneWeb-0201 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48225,2021-031Q ,OneWeb-0202 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48226,2021-031AB ,OneWeb-0203 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48227,2021-031R ,OneWeb-0204 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48242,2021-031S ,OneWeb-0205 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48243,2021-031T ,OneWeb-0206 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48215,2021-031AJ ,OneWeb-0207 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48787,2021-031AK ,OneWeb-0208 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48767,2021-031F ,OneWeb-0209 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48791,2021-045W,OneWeb-0210,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1200,1202,87.4,96.3,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48790,2021-045A,OneWeb-0211,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1200,1202,87.4,96.3,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48788,2021-045AA,OneWeb-0212,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1200,1202,87.4,96.3,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48800,2021-045Z,OneWeb-0213,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1200,1202,87.4,96.3,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48801,2021-045X,OneWeb-0214,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1200,1202,87.4,96.3,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48245,2021-045AK,OneWeb-0215,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1200,1202,87.4,96.3,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48214,2021-045AL,OneWeb-0216,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1200,1202,87.4,96.3,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48223,2021-031AM ,OneWeb-0217 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48232,2021-031E ,OneWeb-0218 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
48789,2021-031P ,OneWeb-0219 ,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0,1215,1220,87.4,93.5,148,,5,Vostochny Cosmodrome,Soyuz-2.1b
